spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Oak, Pin",9,--,East Boston,-71.03185,42.37834
"Planetree, London",11,--,Allston-Brighton,-71.15868,42.34891
"Linden, Littleleaf",25,--,East Boston,-71.02503,42.38028
"Zelkova, Japanese",5,--,East Boston,-71.02879,42.37766
Honeylocust,14,--,East Boston,-71.01834,42.38327
"Linden, Littleleaf",26,--,East Boston,-71.01748,42.38307
"Oak, Swamp White",6,--,East Boston,-71.03857,42.38015
"Linden, Littleleaf",12,--,East Boston,-71.03851,42.38007
"Elm, Chinese",8,--,Fenway/Longwood,-71.10749,42.3503
Ginkgo,16,--,Fenway/Longwood,-71.10962,42.35106
"Maple, Red",10,--,Central Boston,-71.05799,42.36328
"Elm, Accolade",2,Spring 2025,East Boston,-71.0084,42.38602
"Linden, Littleleaf",24,--,East Boston,-71.0175,42.38284
"Elm, Accolade",4,--,East Boston,-71.01881,42.38258
Honeylocust,18,--,East Boston,-71.04012,42.3731
Honeylocust,4,--,East Boston,-71.00761,42.3863
"Elm, American",4,--,South Boston,-71.0502,42.35033
Apple/Crabapple,1,--,East Boston,-71.03869,42.37248
Honeylocust,5,--,South Boston,-71.04489,42.34375
"Maple, Red",5,--,South Boston,-71.04144,42.33402
Honeylocust,3,--,East Boston,-71.01884,42.38235
"Maple, Red",5,--,Fenway/Longwood,-71.10258,42.34937
"Elm, Accolade",2,--,East Boston,-71.00916,42.38576
Honeylocust,13,--,East Boston,-71.03937,42.37403
"Oak, Pin",4,--,East Boston,-71.01949,42.38233
"Ash, Green",10,--,East Boston,-71.00877,42.38589
"Basswood, American",9,--,East Boston,-71.00201,42.38489
Honeylocust,11,--,Central Boston,-71.05953,42.36414
"Zelkova, Japanese",25,--,Fenway/Longwood,-71.10075,42.34893
"Planetree, London",12,--,East Boston,-71.00889,42.38584
Honeylocust,5,--,Fenway/Longwood,-71.10075,42.34887
"Oak, Pin",4,--,East Boston,-71.01908,42.38226
Apple/Crabapple,14,--,East Boston,-71.03926,42.37325
"Basswood, American",17,--,East Boston,-71.03787,42.37319
"Linden, Littleleaf",20,--,East Boston,-71.01035,42.38536
Honeylocust,11,--,Roxbury,-71.07464,42.3328
Honeylocust,14,--,East Boston,-71.04022,42.37297
Honeylocust,5,--,East Boston,-71.0192,42.38243
"Linden, Littleleaf",7,--,East Boston,-71.04132,42.37066
"Maple, Red",4,--,East Boston,-71.03879,42.37515
"Basswood, American",16,--,East Boston,-71.03803,42.37305
"Basswood, American",4,--,East Boston,-71.00421,42.38426
"Linden, Littleleaf",6,--,East Boston,-71.04244,42.37036
"Pear, Callery",6,--,Charlestown,-71.05679,42.38003
Ginkgo,5,--,Central Boston,-71.0668,42.34933
Honeylocust,3,--,Back Bay/Beacon Hill,-71.06661,42.36108
"Maple, Red",10,--,Central Boston,-71.05792,42.3632
"Linden, Littleleaf",19,--,East Boston,-71.03915,42.38008
Honeylocust,3,--,Back Bay/Beacon Hill,-71.08931,42.35099
Scheduled Planting Site - Fall 2025,0,--,East Boston,-71.02226,42.38181
Apple/Crabapple,3,--,Charlestown,-71.06751,42.38032
Crabapple spp.,2,Spring 2023,Charlestown,-71.0658,42.37962
